Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,athlete_id
2024,Eyabi Okie-Anoma,North Carolina Charlotte,DE,76.5,260,9.5,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,Patrick Paul,Houston,OT,79.5,331,9.38,36.25,NA,5.13,30,29,NA,4.71,7.65,NA,NA
2024,Michael Penix,Washington,QB,74.25,216,10.5,33.63,NA,4.58,NA,36.5,125,NA,NA,NA,NA
2024,Prince Pines,Tulane (LA),OG,76.5,329,9.13,32.88,NA,5.34,23,30,NA,NA,NA,NA,NA
2024,JaLynn Polk,Washington,WR,73.38,203,9.75,31.75,NA,4.52,NA,37.5,129,NA,NA,NA,NA
2024,Ennis Rakestraw,Missouri,CB,71.38,183,8.5,32,NA,4.51,13,NA,120,4.38,NA,NA,NA
2024,Keith Randolph,Illinois,DT,75.5,296,9.88,32.75,NA,5.15,21,28.5,105,4.81,7.75,NA,NA
2024,Chop Robinson,Penn State,DE,74.88,254,9.13,32.5,NA,4.48,NA,34.5,128,4.25,NA,NA,NA
2024,Darius Robinson,Missouri,DT,77.13,285,10.63,34.5,NA,4.95,21,35,111,4.76,7.87,NA,NA
2024,Justin Rogers,Auburn,DT,74.5,322,10.13,33,NA,5.55,21,24.5,99,4.87,8.17,NA,NA
2024,Nick Samac,Michigan State,C,76,307,9.75,32.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,JaTavion Sanders,Texas,TE,75.88,245,10.13,32.88,NA,4.69,8,30,114,4.32,NA,NA,NA
2024,Jaden Shirden,Monmouth (NJ),RB,68,187,9.25,28.75,NA,4.45,NA,34.5,117,NA,NA,NA,NA
2024,Kingsley Suamataia,Brigham Young,OT,76.63,332,10.63,34.25,NA,5.04,31,28,110,NA,NA,NA,NA
2024,Jalen Sundell,North Dakota State,C,77,301,9.5,33.13,NA,5.19,26,30.5,105,4.58,7.63,NA,NA
2024,TVondre Sweat,Texas,DT,76.5,366,10.13,33.25,NA,5.27,NA,26,98,NA,NA,NA,NA
2024,Leonard Taylor,Miami (FL),DT,75.5,303,9.75,33.88,NA,5.12,NA,30,109,4.71,7.81,NA,NA
2024,Dadrion Taylor-Demerson,Texas Tech,FS,70.38,197,9.63,30.88,NA,4.41,NA,38,123,4.39,7,NA,NA
2024,Brian Thomas,Louisiana State,WR,74.88,209,9.75,32.75,NA,4.33,11,38.5,126,NA,NA,NA,NA
2024,Nathan Thomas,Louisiana-Lafayette,OT,77,332,10.75,33.75,NA,5.19,24,25,107,4.65,8.01,NA,NA
2024,Tyrone Tracy,Purdue,RB,71.13,209,9.13,31.75,NA,4.48,20,40,124,4.06,6.81,NA,NA
2024,Jeremiah Trotter,Clemson,ILB,72,228,9.25,31.5,NA,NA,21,NA,NA,4.4,7.13,NA,NA
2024,Sedrick Van Pran-Granger,Georgia,C,76.13,298,9.5,31.38,NA,5.2,22,NA,NA,4.82,7.46,NA,NA
2024,Caedan Wallace,Penn State,OT,76.88,314,10.75,34,NA,5.15,NA,31,116,4.96,7.73,NA,NA
2024,Nathaniel Watson,Mississippi State,ILB,74.25,233,9.88,32.88,NA,4.63,16,31,111,4.44,7.34,NA,NA
2024,Nate Wiggins,Clemson,CB,73.38,173,9,30.5,NA,4.28,NA,36,127,NA,NA,NA,NA
2024,Caleb Williams,Southern California,QB,73.13,214,9.75,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,Isaiah Williams,Illinois,WR,69.25,182,9.13,30.13,NA,4.63,17,38,123,4.11,6.75,NA,NA
2024,James Williams,Miami (FL),SS,76.25,231,9.5,33.63,NA,4.65,NA,30,117,NA,NA,NA,NA
2024,Johnny Wilson,Florida State,WR,78.38,231,10,35.38,NA,4.52,NA,37,128,NA,NA,NA,NA
2024,Mekhi Wingo,Louisiana State,DT,72.25,284,9.25,32,NA,4.85,25,31.5,109,4.45,7.33,NA,NA
2024,Zak Zinter,Michigan,OG,77.88,309,9.38,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,Alan Ali,Texas Christian,C,76.25,301,9.5,32.88,NA,NA,NA,26.5,NA,NA,NA,NA,NA
2023,Will Anderson,Alabama,DE,75.5,253,9.88,33.88,NA,4.6,NA,NA,NA,NA,NA,NA,NA
2023,Jake Andrews,Troy (AL),C,74.75,305,10,32.88,NA,5.15,29,26,102,4.73,7.77,NA,NA
2023,Felix Anudike-Uzomah,Kansas State,DE,75.13,255,9.63,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,Malaesala Aumavae-Laulu,Oregon,OT,77.5,317,10.5,34.5,NA,5.23,18,28.5,106,4.75,NA,NA,NA
2023,Steve Avila,Texas Christian,OG,75.5,332,9.25,33,NA,5.21,28,29.5,98,4.74,NA,NA,NA
2023,Tyson Bagent,Shepherd (WV),QB,75.13,213,9.5,30.13,NA,4.79,NA,36,120,4.36,NA,NA,NA
2023,Henry Bainivalu,Washington,OG,77.75,306,10.75,34,NA,5.5,NA,28,101,4.97,NA,NA,NA
2023,TJ Bass,Oregon,OG,76.38,321,9.25,32.38,NA,5.48,NA,28.5,109,NA,NA,NA,NA
2023,Robert Beal,Georgia,OLB,75.75,247,10.13,34.63,NA,4.44,14,30,123,4.42,7.26,NA,NA
2023,Ronnie Bell,Michigan,WR,71.63,191,9.5,31,NA,4.54,14,38.5,120,4.15,6.62,NA,NA
2023,Matthew Bergeron,Syracuse,OT,77.25,318,9.5,33.75,NA,NA,NA,30.5,103,4.66,7.38,NA,NA
2023,Anthony Bradford,Louisiana State,OG,76,332,9.5,33.5,NA,5.08,34,30,106,4.8,NA,NA,NA
2023,Nick Broeker,Mississippi,OG,76.38,305,9.75,32.5,NA,5.27,NA,NA,NA,4.7,NA,NA,NA
2023,Jalen Brooks,South Carolina,WR,73,200,9.5,34.13,NA,4.69,15,35,130,4.31,7.23,NA,NA
2023,Cameron Brown,Ohio State,CB,72,199,9,31,NA,4.57,10,35.5,115,4.59,7.12,NA,NA
2023,JiAyir Brown,Penn State,SS,71.38,203,10.13,31.25,NA,4.65,18,32.5,119,4.21,NA,NA,NA
2023,Jerrod Clark,Coastal Carolina (SC),DT,75.63,337,9.75,33.75,NA,5.25,NA,27.5,102,4.83,NA,NA,NA
2023,KeiTrel Clark,Louisville,CB,70.25,181,8.25,29.63,NA,4.42,NA,34.5,122,4.21,NA,NA,NA
2023,McClendon Curtis,Tennessee-Chattanooga,OT,77.88,324,10.25,35,NA,5.24,25,26.5,105,4.97,NA,NA,NA
2023,Braeden Daniels,Utah,OG,75.63,307,9.38,33,NA,4.99,NA,30.5,109,4.6,NA,NA,NA
2023,Trey Dean,Florida,SS,74.13,200,9.25,31.75,NA,4.75,25,36.5,124,4.26,6.69,NA,NA
2023,Jaelyn Duncan,Maryland,OT,77.63,306,9.38,33,NA,5.1,NA,31.5,113,NA,NA,NA,NA
2023,Emil Ekiyor,Alabama,OG,74.5,314,9.5,33.88,NA,NA,23,NA,NA,NA,NA,NA,NA
2023,Mark Evans,Arkansas-Pine Bluff,OG,74.5,303,10.38,32.38,NA,5.44,19,26.5,101,4.92,NA,NA,NA
2023,Zach Evans,Mississippi,RB,71.13,202,10.25,31.63,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,Bryce Ford-Wheaton,West Virginia,WR,75.75,221,9.38,33.5,NA,4.38,NA,41,129,4.15,NA,NA,NA
2023,Alex Forsyth,Oregon,C,75.88,303,10.25,32.75,NA,NA,29,20.5,95,NA,NA,NA,NA
2023,Noah Gindorff,North Dakota State,TE,78,263,10,33.13,NA,NA,16,NA,NA,NA,NA,NA,NA
2023,Christian Gonzalez,Oregon,CB,73.38,197,9.5,32,NA,4.38,14,41.5,133,NA,NA,NA,NA
2023,Richard Gouraige,Florida,OT,77,306,10,34,NA,NA,23,NA,NA,NA,NA,NA,NA
2023,Jovaughn Gwyn,South Carolina,C,73.88,297,9.88,31.75,NA,5.12,34,27.5,109,4.8,7.87,NA,NA
2023,Ryan Hayes,Michigan,OT,78.38,305,10,32.5,NA,5.18,NA,30,103,4.68,7.49,NA,NA
2023,Brandon Hill,Pittsburgh,SS,70.38,193,9.5,30.75,NA,4.43,15,35.5,123,NA,NA,NA,NA
2023,TreVius Hodges-Tomlinson,Texas Christian,CB,67.63,178,8.63,29,NA,4.41,12,39,132,NA,NA,NA,NA
2023,Andrei Iosivas,Princeton,WR,75.13,205,8.75,32,NA,4.43,19,39,128,4.12,NA,NA,NA
2023,Anthony Johnson,Iowa State,FS,71.63,205,8.75,31.25,NA,4.54,12,37.5,125,4.31,7.07,NA,NA
2023,Anthony Johnson,Virginia,CB,73.63,205,8.63,32.63,NA,4.63,15,30.5,116,NA,NA,NA,NA
2023,Antonio Johnson,Texas A&M,FS,73.88,198,9.75,32.13,NA,4.52,8,31,118,NA,NA,NA,NA
2023,CJ Johnson,East Carolina (NC),WR,73.5,224,10.25,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,DJ Johnson,Oregon,DE,76,260,9,33.25,NA,4.49,28,32,110,4.51,7.33,NA,NA
2023,Paris Johnson,Ohio State,OT,78.38,313,9.5,36.13,NA,NA,29,NA,110,NA,NA,NA,NA
2023,Andre Jones,Louisiana-Lafayette,DE,76.5,248,10,34.25,NA,NA,NA,29,116,NA,NA,NA,NA
2023,Broderick Jones,Georgia,OT,77.38,313,10.63,34.75,NA,4.97,NA,30,108,NA,NA,NA,NA
2023,Cam Jones,Indiana,OLB,73.25,227,9.5,31.25,NA,4.69,17,33,NA,4.4,7.3,NA,NA
2023,Charlie Jones,Purdue,WR,71.38,176,9,31.63,NA,4.43,13,36.5,124,4.15,6.84,NA,NA
2023,Dawand Jones,Ohio State,OT,80.25,374,11.63,36.38,NA,5.35,NA,NA,NA,NA,NA,NA,NA
2023,Jaylon Jones,Texas A&M,CB,74.13,200,9,30.75,NA,4.57,14,38,122,4.3,NA,NA,NA
2023,Tucker Kraft,South Dakota State,TE,76.75,254,10,32.75,NA,4.69,23,34,122,4.29,NA,NA,NA
2023,Brent Laing,Minnesota-Duluth,OG,75.88,304,9.75,32.38,NA,5.19,24,28,102,4.65,7.63,NA,NA
2023,Isaiah Land,Florida A&M,OLB,75.5,236,9.25,32.5,NA,4.62,21,34.5,126,4.56,NA,NA,NA
2023,Hunter Luepke,North Dakota State,FB,73.25,230,9.63,31.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,Darrell Luter,South Alabama,CB,71.75,189,10.38,32.38,NA,4.46,NA,40.5,123,4.43,NA,NA,NA
2023,Tashawn Manning,Kentucky,OG,75.13,327,9.75,34.5,NA,5.34,NA,27.5,102,4.8,NA,NA,NA
2023,Cody Mauch,North Dakota State,OG,77,302,9.75,32.38,NA,5.08,29,29,108,4.55,NA,NA,NA
2023,Will McDonald,Iowa State,DE,75.63,239,9.5,34.88,NA,4.7,NA,36,132,4.22,6.85,NA,NA
2023,Wanya Morris,Oklahoma,OT,77.38,307,10.25,35.13,NA,5.1,NA,28.5,111,NA,NA,NA,NA
2023,Myles Murphy,Clemson,DE,76.75,268,8.5,33.75,NA,NA,25,NA,NA,NA,NA,NA,NA
2023,Aidan OConnell,Purdue,QB,75.38,210,9.75,32.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,John Ojukwu,Boise State,OT,77.75,309,10.75,34,NA,5.24,26,28.5,104,4.52,NA,NA,NA
2023,Olusegun Oluwatimi,Michigan,C,74.5,309,8.63,32.75,NA,5.38,29,29,110,4.68,7.58,NA,NA
2023,Ivan Pace,Cincinnati,ILB,70.5,222,9.5,30.25,NA,4.62,22,35,116,4.4,7.18,NA,NA
2023,Jarrett Patterson,Notre Dame,C,77.13,306,10,31.38,NA,5.33,22,29.5,106,4.73,7.76,NA,NA
2023,Lonnie Phelps,Kansas,OLB,74.38,244,9.25,32.38,NA,4.55,NA,NA,117,NA,NA,NA,NA
2023,Clark Phillips,Utah,CB,69,184,9.13,29.13,NA,4.51,18,33,NA,4.32,NA,NA,NA
2023,Joey Porter,Penn State,CB,74.5,198,10,34,NA,4.46,17,35,129,NA,NA,NA,NA
2023,Asim Richards,North Carolina,OG,76.25,309,10,34,NA,5.16,13,29,107,4.89,7.76,NA,NA
2023,John Michael Schmitz,Minnesota,C,75.5,301,9.5,32.63,NA,5.35,26,29.5,104,4.56,NA,NA,NA
2023,Tyler Scott,Cincinnati,WR,69.88,177,9,30.88,NA,4.44,15,39.5,133,4.25,6.99,NA,NA
2023,Juice Scruggs,Penn State,C,75.25,305,10.25,33.25,NA,5.22,29,32,102,4.82,NA,NA,NA
2023,Nesta Jade Silvera,Arizona State,DT,74,311,9.88,32.88,NA,5.16,21,29.5,110,NA,NA,NA,NA
2023,Peter Skoronski,Northwestern,OG,76,313,10,32.25,NA,5.16,30,34.5,115,NA,NA,NA,NA
2023,Cam Smith,South Carolina,CB,72.75,180,9.13,31.63,NA,4.43,NA,38,134,NA,NA,NA,NA
2023,Christopher Smith,Georgia,FS,70.63,192,9.63,31.13,NA,4.62,15,33,116,4.41,7.45,NA,NA
2023,Jason Taylor,Oklahoma State,SS,71.63,204,10,32,NA,4.5,14,43,129,NA,NA,NA,NA
2023,Leonard Taylor,Cincinnati,TE,76.63,250,10.13,32.75,NA,NA,10,NA,NA,4.98,NA,NA,NA
2023,Noah Taylor,North Carolina,OLB,76.63,239,8.63,32.63,NA,NA,22,NA,NA,NA,NA,NA,NA
2023,Joe Tippmann,Wisconsin,C,78,313,10.75,32.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,Henry Too Too,Alabama,ILB,73,227,10.25,32.75,NA,4.62,NA,32,116,4.4,NA,NA,NA
2023,OCyrus Torrence,Florida,OG,77.38,330,11.25,33.88,NA,5.31,23,23.5,101,4.81,NA,NA,NA
2023,Rashad Torrence,Florida,SS,71.63,193,10,32,NA,4.72,20,33.5,119,NA,NA,NA,NA
2023,Sean Tucker,Syracuse,RB,69.25,207,9.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,DJ Turner,Michigan,CB,71.25,178,9.63,30.75,NA,4.26,NA,38.5,131,NA,NA,NA,NA
2023,Dalton Wagner,Arkansas,OT,80,320,10.5,34.38,NA,NA,24,24.5,102,NA,NA,NA,NA
2023,Garrett Williams,Syracuse,CB,70.38,192,9.25,31,NA,NA,19,NA,NA,NA,NA,NA,NA
2023,Luke Wypler,Ohio State,C,74.63,303,9.63,31.63,NA,5.14,29,30.5,106,4.53,NA,NA,NA
2023,Bryce Young,Alabama,QB,70.13,204,9.75,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,Byron Young,Alabama,DT,75.38,294,11,34.38,NA,NA,24,26,108,NA,NA,NA,NA
2023,Byron Young,Tennessee,OLB,74.38,250,9.25,32.5,NA,4.4,22,38,132,NA,NA,NA,NA
2023,Cameron Young,Mississippi State,DT,75.38,304,10,34.5,NA,5.1,NA,NA,NA,NA,NA,NA,NA
2022,Austin Allen,Nebraska,TE,79.63,253,9.5,33.63,NA,4.83,NA,34,121,4.26,NA,NA,NA
2022,Chase Allen,Iowa State,TE,78,251,9.63,34.13,NA,NA,NA,33.5,117,4.43,NA,NA,NA
2022,Troy Andersen,Montana State,OLB,75.5,243,9.25,32.13,NA,4.42,NA,36,128,NA,NA,NA,NA
2022,Calvin Austin,Memphis,WR,67.75,170,9.25,30,NA,4.32,NA,39,135,4.07,NA,NA,NA
2022,Markquese Bell,Florida A&M,SS,74.13,212,9.38,32.38,NA,4.41,NA,36.5,123,4.46,NA,NA,NA
2022,Andrew Booth,Clemson,CB,72.25,194,9.38,31.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,Ben Brown,Mississippi,OG,77.13,312,10.25,34.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,Logan Bruss,Wisconsin,OT,77,308,11,33.13,NA,5.32,NA,31,112,4.55,NA,NA,NA
2022,Spencer Burford,Texas-San Antonio,OG,76.13,304,9.5,34.75,NA,5.19,NA,27.5,105,4.73,NA,NA,NA
2022,JAtyre Carter,Southern (LA),OG,75.38,311,10.25,33.63,NA,5.13,NA,30,108,4.9,NA,NA,NA
2022,Myron Cunningham,Arkansas,OT,77.63,322,10.5,34.5,NA,5.38,26,20,98,5.16,NA,NA,NA
2022,Jordan Davis,Georgia,DT,78.38,341,10.75,34,NA,4.78,NA,32,123,NA,NA,NA,NA
2022,DaiJean Dixon,Nicholls State (LA),WR,74.63,205,9.5,32.38,NA,4.62,NA,34,125,4.42,NA,NA,NA
2022,William Dunkle,San Diego State,OG,76.88,328,10.25,33.63,NA,5.44,25,26,95,4.91,NA,NA,NA
2022,Decobie Durant,South Carolina State,CB,69.63,180,8.75,30.75,NA,4.38,NA,NA,NA,NA,NA,NA,NA
2022,Noah Elliss,Idaho,DT,76.25,346,10.38,32.25,NA,5.62,NA,NA,NA,NA,NA,NA,NA
2022,Kingsley Enagbare,South Carolina,DE,75.75,258,10.63,34.75,NA,4.87,NA,36.5,117,NA,NA,NA,NA
2022,Obinna Eze,Texas Christian,OT,78.5,321,9.88,36.13,NA,5.17,18,27.5,104,5.08,NA,NA,NA
2022,Joshua Ezeudu,North Carolina,OG,76.25,308,9.5,34,NA,5.19,NA,28.5,105,4.56,NA,NA,NA
2022,Daniel Faalele,Minnesota,OT,80,384,11,35.13,NA,NA,24,NA,NA,NA,NA,NA,NA
2022,Neil Farrell,Louisiana State,DT,76.13,330,10.13,32.25,NA,5.41,NA,21.5,NA,NA,NA,NA,NA
2022,DaMarcus Fields,Texas Tech,CB,71.63,193,9.13,31.25,NA,4.48,NA,34.5,NA,NA,NA,NA,NA
2022,Christian Harris,Alabama,ILB,72.5,226,9.63,32.13,NA,4.44,NA,34.5,132,NA,NA,NA,NA
2022,Kevin Harris,South Carolina,RB,69.88,221,9.25,31.25,NA,NA,21,38.5,126,NA,NA,NA,NA
2022,Kolby Harvell-Peel,Oklahoma State,SS,71.63,213,9.75,31.13,NA,NA,21,NA,NA,NA,NA,NA,NA
2022,Ed Ingram,Louisiana State,OG,75.25,307,10,33.63,NA,5.02,NA,20.5,102,4.76,NA,NA,NA
2022,DMarco Jackson,Appalachian State (NC),ILB,72.75,233,9.25,32.5,NA,4.55,NA,33,125,NA,NA,NA,NA
2022,Jordan Jackson,Air Force,DT,76.5,294,9.38,33.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,Josh Johnson,Tulsa (OK),WR,70.5,179,8.63,32.25,NA,4.62,14,NA,NA,NA,NA,NA,NA
2022,Tyree Johnson,Texas A&M,DE,74.5,248,9.75,30.88,NA,NA,21,NA,NA,NA,NA,NA,NA
2022,Zion Johnson,Boston College,OG,74.63,312,10.63,34,NA,5.18,32,32,112,4.46,NA,NA,NA
2022,Braxton Jones,Southern Utah,OT,77.25,310,10.25,35.38,NA,4.97,NA,25.5,108,4.84,NA,NA,NA
2022,Marcus Jones,Houston,CB,68,174,8.88,28.88,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,Travis Jones,Connecticut,DT,76.38,325,10.25,34.25,NA,4.92,NA,28.5,110,4.58,NA,NA,NA
2022,Velus Jones,Tennessee,WR,71.75,204,9.75,30.88,NA,4.31,NA,33,121,NA,NA,NA,NA
2022,Cam Jurgens,Nebraska,C,74.88,303,10,33.38,NA,4.92,25,NA,NA,NA,NA,NA,NA
2022,DEriq King,Miami (FL),WR,68.75,196,9.25,28.88,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,Alec Lindstrom,Boston College,C,75.38,296,9.25,32.63,NA,5.18,25,29,111,4.66,NA,NA,NA
2022,Vederian Lowe,Illinois,OT,76.63,310,10.38,35.38,NA,5.22,22,25.5,99,4.71,NA,NA,NA
2022,Zyon McCollum,Sam Houston State (TX),CB,74.13,199,9,30.75,NA,4.33,NA,39.5,132,3.94,NA,NA,NA
2022,Marcus McKethan,North Carolina,OT,78.5,340,10.5,35.5,NA,5.31,27,27.5,110,4.99,NA,NA,NA
2022,Verone McKinley,Oregon,FS,70,198,9.13,30.63,NA,NA,16,35,120,NA,NA,NA,NA
2022,James Mitchell,Virginia Tech,TE,76,249,9.75,32.88,NA,NA,NA,NA,NA,NA,NA,NA,NA
