position,Name,school,Draft Class,Height,Weight,Arm Length,Hand Size,Wingspan,40 Yard Dash,10 Yard Split,Vertical,Broad Jump,20 Yard Shuttle,3 Cone,Cmp,Att,Cmp%,Yds,Y/A,AY/A,TD,Int,Pass Rate,Rush Att,Rush Yds,Rush Avg,Rush TD,YP,GP,tttidy,nfl_epa_per_play
QB,Stetson Bennett,Georgia,2023,71,192,28.875,10,72,4.67,1.59,33.5,118,4.2,,601,924,65,8429,9.1,9.5,66,21,160.7,141,530,3.8,14,4,42,2.53,
QB,Will Levis,Kentucky,2023,76,229,32,10.625,78.125,,,34,124,,,479,738,64.9,5876,8,7.7,46,25,145.6,312,742,2.4,17,4,39,2.58,
QB,Jaren Hall,BYU,2023,72,207,29.75,9.5,71.875,,,,,,,468,718,65.2,6174,8.6,9.4,52,11,158.2,181,800,4.4,9,4,31,2.78,
QB,Sean Clifford,Penn State,2023,74,218,31.675,9.675,,4.57,,30.5,98,4.31,,833,1356,61.1,10661,7.9,8.1,86,31,143.8,388,1073,2.8,15,5,51,2.83,
QB,Anthony Richardson,Florida,2023,76,244,32.75,10.5,79.875,4.43,1.53,40.5,129,,,215,393,54.7,3105,7.9,7.4,24,15,133.6,161,1116,6.9,12,3,24,3.18,
QB,Clayton Tune,Houston,2023,74,220,31.375,9.375,75.625,4.64,1.55,37.5,122,4.25,6.89,956,1497,63.9,11994,8,8.2,104,41,148.6,412,1248,3,15,5,47,3.2,
QB,Dorian Thompson-Robinson,UCLA,2023,74,203,30.625,9.875,74.75,4.56,1.51,32.5,121,4.44,7.28,860,1359,63.3,10710,7.9,8,88,36,145.6,471,1826,3.9,28,5,49,2.8,
QB,Max Duggan,TCU,2023,73,207,30.375,9.875,73.375,4.52,1.55,30.5,116,4.45,7.26,739,1225,60.3,9618,7.9,8,73,28,141.4,488,1856,3.8,28,4,47,2.8,
QB,Hendon Hooker,Tennessee,2023,75,217,33,10.5,79.25,,,,,,,632,944,66.9,8974,9.5,10.6,80,12,172.2,517,2079,4,25,5,46,2.6,
QB,Malik Cunningham,Louisville,2023,72,192,31.375,9.5,75.375,4.53,1.51,,,,,691,1104,62.6,9960,8.8,8.8,70,29,151.8,618,3179,5.1,50,5,56,3.02,
QB,Carson Strong,Nevada,2022,75,226,32,9.125,76,,,,,,,852,1251,68.1,9368,7.5,8,74,19,147.5,139,-305,-2.2,0,4,32,,
QB,Jack Coan,Notre Dame,2022,75,218,31.125,9.5,74.875,4.9,1.67,33,115,4.39,6.95,550,823,66.8,6428,7.8,8.2,48,15,148,133,-111,-0.8,7,4,35,,
QB,Bailey Zappe,Western Kentucky,2022,73,215,31.375,9.75,74.75,4.88,1.67,30,109,4.4,7.19,475,686,69.2,5967,8.7,9.8,62,11,169.9,51,17,0.3,3,1,14,,-0.203
QB,Kaleb Eleby,Western Michigan,2022,73,208,30.375,9.25,75.75,,,25.5,111,,7.57,421,662,63.6,6084,9.2,9.8,45,11,159.9,150,75,0.5,13,3,24,,
QB,Cole Kelley,Southeastern Louisiana,2022,79,249,33.75,9.875,81.25,,,,,,,112,218,56,1493,6.8,6.2,13,9,124.9,81,147,1.8,5,2,18,,
QB,Kenny Pickett,Pittsburgh,2022,75,217,30.875,8.5,73.75,4.73,1.59,33.5,121,4.29,,1045,1674,62.4,12303,7.3,7.5,81,32,136.3,416,809,1.9,20,5,52,,-0.009
QB,Sam Howell,North Carolina,2022,73,218,30.75,9.125,75.5,,,,,,,713,1117,63.8,10283,9.2,9.9,92,23,164.2,369,1009,2.7,17,3,37,,-0.075
QB,Skylar Thompson,Kansas St.,2022,74,217,31,8.675,74.675,4.91,1.62,31,112,4.28,7,552,885,62.4,7124,8,8.2,42,16,142,355,1087,3.1,26,5,45,,
QB,Brock Purdy,Iowa St.,2022,73,212,29,9.25,70.125,4.84,1.55,27,,4.45,7.21,993,1467,67.7,12170,8.3,8.4,81,33,151.1,365,1177,3.2,19,4,48,,0.298
QB,Matt Corral,Ole Miss,2022,74,212,30.75,9.675,74.5,,,,,,,614,912,67.3,8287,9.1,9.2,57,23,159.2,334,1338,4,18,4,37,,
QB,D'Eriq King,Miami,2022,69,196,28.875,9.25,71.125,,,,,,,661,1048,63.1,8378,8,8.6,76,19,150.5,423,2055,4.9,32,6,48,,
QB,Dustin Crum,Kent St.,2022,73,210,31.75,9.375,77.375,4.75,1.63,32.5,120,4.36,,576,864,66.7,7420,8.6,9.2,55,12,157,477,2071,4.3,24,5,47,,
QB,Malik Willis,Liberty,2022,73,219,31.75,9.5,77.375,,,,,,,388,618,62.8,5176,8.4,8.6,48,18,152.9,366,2131,5.8,29,4,35,,
QB,Desmond Ridder,Cincinnati,2022,75,211,32.75,10,79,4.52,1.59,36,127,4.29,7.15,810,1304,62.1,10239,7.9,8.2,87,28,145.8,501,2180,4.4,28,4,50,,-0.053
QB,Zach Smith,Tulsa,2021,75,222,32.375,9.375,78,5.23,1.75,29.5,111,4.52,7.26,614,1089,56.4,8223,7.6,7.1,53,34,129.6,166,-263,-1.6,1,4,40,,
QB,Brady White,Memphis,2021,73,210,31.5,10.125,74.375,4.84,1.7,29,,4.33,6.97,794,1282,61.9,10949,8.5,8.9,92,31,152.5,180,-23,-0.1,7,5,41,,
QB,KJ Costello,Mississippi State,2021,76.5,225,32.875,10.125,76.75,5.11,1.84,27.5,103,4.75,,629,1000,62.9,7434,7.4,7.2,55,29,137.7,112,31,0.3,3,4,35,,
QB,Mac Jones,Alabama,2021,74,217,32.675,9.75,79.125,4.72,1.7,32,116,4.39,7.04,413,556,74.3,6126,11,12.5,56,7,197.6,54,42,0.8,2,3,31,,0.004
QB,Kyle Trask,Florida,2021,77,236,33,10.125,80.675,5.1,1.7,31.5,113,4.6,7.08,552,813,67.9,7386,9.1,10,69,15,168.5,132,54,0.4,8,3,27,,
QB,Davis Mills,Stanford,2021,75,217,31.375,9.5,77.75,4.82,1.74,32,110,4.4,6.95,287,438,65.5,3468,7.9,7.9,18,8,141.9,63,86,1.4,3,3,14,,-0.098
QB,Feleipe Franks,Arkansas,2021,78,234,31.5,9.75,,4.61,,32.5,117,4.22,7.16,530,860,61.6,6700,7.8,8,55,21,143.3,294,642,2.2,9,4,38,,
QB,Zach Wilson,BYU,2021,74,214,30.675,9.5,74.25,,,,,,,566,837,67.6,7652,9.1,9.7,56,15,162.9,212,642,3,15,3,30,,-0.161
QB,Trevor Lawrence,Clemson,2021,77,213,31.5,10,78.25,,,,,,,758,1138,66.6,10098,8.9,9.8,90,17,164.3,231,943,4.1,18,3,40,,0.051
QB,Justin Fields,Ohio St.,2021,74,227,32.5,9.125,74.75,4.45,1.59,,,,,423,618,68.4,5701,9.2,10.7,67,9,178.8,260,1133,4.4,19,3,34,,-0.025
QB,Zac Thomas,Appalachian St.,2021,72,205,31.5,8.75,75.25,4.59,1.64,30,115,4.28,7.06,576,914,63,6979,7.6,8,69,23,147,294,1301,4.4,19,4,41,,
QB,Trey Lance,North Dakota St.,2021,75,224,31.5,9.125,76.75,,,,,,,208,318,65.4,2947,9.3,11,30,1,173.8,192,1325,6.9,18,3,19,,
QB,Ian Book,Notre Dame,2021,72,211,31.25,9.875,75.875,4.65,1.71,32.5,115,4.19,6.99,728,1141,63.8,8948,7.8,8.3,72,20,147,361,1517,4.2,17,4,45,,
QB,Kellen Mond,Texas A&M,2021,75,211,33.5,9.375,80.125,4.62,1.64,,,,,801,1358,59,9661,7.1,7.3,71,27,132,438,1608,3.7,22,4,46,,
QB,Sam Ehlinger,Texas,2021,73,220,30.375,9.75,75.125,4.84,1.71,36.5,114,4.44,7.15,923,1476,62.5,11436,7.7,8.2,94,27,145,554,1903,3.4,33,4,46,,
QB,James Morgan,Florida International,2020,76,229,33.375,9.75,79,4.89,,29,112,4.64,7.51,699,1221,57.2,8654,7.1,6.9,65,34,128.8,130,-168,-1.3,3,4,43,,
QB,Jake Luton,Oregon State,2020,78,224,31.75,10.375,77.63,,,,,,,496,797,62.2,5630,7.1,7.3,43,15,135.6,116,-131,-1.1,6,4,29,,
QB,Jacob Eason,Washington,2020,78,231,32.875,9.5,79,4.89,,27.5,110,4.75,7.5,468,782,59.8,5590,7.1,7.2,39,16,132.3,82,-126,-1.5,2,3,29,,
QB,Jake Fromm,Georgia,2020,74,219,31.125,8.875,75,5.01,,30,111,4.51,7.27,621,982,63.2,8224,8.4,9.1,78,18,156.1,134,40,0.3,3,3,43,,
QB,Tua Tagovailoa,Alabama,2020,74,217,30.5,10,75.25,,,,,,,474,684,69.3,7442,10.9,12.7,87,11,199.4,107,340,3.2,9,3,32,,0.133
QB,Jordan Love,Utah State,2020,76,224,32.675,10.5,80,4.74,,35.5,118,4.52,7.21,689,1125,61.2,8600,7.6,7.6,60,29,137.9,170,403,2.4,9,3,38,,0.135
QB,Shea Patterson,Michigan,2020,73,212,30.5,9.375,,4.71,,31,116,4.5,7.14,662,1098,60.3,8800,8,8.1,68,27,143.1,251,476,1.9,8,4,36,,
QB,Justin Herbert,Oregon,2020,78,236,32.875,10,,4.68,,35.5,123,4.46,7.06,827,1293,64,10541,8.2,8.8,95,23,153.1,231,560,2.4,13,4,43,,0.131
QB,Joe Burrow,LSU,2020,75,221,30.875,9,74,,,,,,,650,945,68.8,8852,9.4,10.5,78,11,172.4,258,820,3.2,13,4,38,,0.138
QB,Cole McDonald,Hawaii,2020,75,215,32.25,9.75,76.75,4.58,,36,121,4.52,7.13,616,1004,61.4,8032,8,8.3,70,24,146.8,251,880,3.5,12,3,33,,
QB,Steven Montez,Colorado,2020,76,231,32.75,9.375,76.88,4.68,,33,117,4.43,7.25,824,1321,62.4,9710,7.4,7.2,63,33,134.9,343,960,2.8,11,4,45,,
QB,Brian Lewerke,Michigan State,2020,74,213,32.125,10.675,75.5,4.95,,31,113,4.4,7.14,721,1249,57.7,8293,6.6,6.2,47,32,120.8,346,1255,3.6,10,4,41,,
QB,Jalen Hurts,Oklahoma,2020,73,222,31.75,9.75,77.675,4.59,,35,125,,,682,1047,65.1,9477,9.1,9.7,80,20,162.6,614,3274,5.3,43,4,56,,0.142
QB,Gardner Minshew,Washington State,2019,72.875,225,31.75,10.125,74.375,4.97,,33.5,116,4.45,7.14,761,1168,65.2,8266,7.1,7.4,62,20,138.7,96,43,0.4,4,3,30,,0.04
QB,WIll Grier,West Virginia,2019,74.5,217,32.5,9.375,75.125,4.84,,34,112,4.28,7.09,621,945,65.7,8556,9.1,9.7,81,23,165.2,147,148,1,7,3,28,,
QB,Dwayne Haskins,Ohio State,2019,75,231,33.5,9.625,79.5,5.04,,28.5,,,,413,590,70,5396,9.1,10.3,54,9,174,103,194,1.9,4,2,22,,-0.147
QB,Jarrett Stidham,Auburn,2019,74.375,218,32,9.125,76.5,4.81,,31,110,4.33,7.28,545,848,64.3,7217,8.5,9,48,13,151.4,211,224,1.1,9,3,37,,
QB,Ryan Finley,North Carolina State,2019,76,213,32.875,9.5,77.125,4.73,,30.5,116,4.2,7.2,938,1461,64.2,11147,7.6,7.6,63,30,138.4,214,382,1.8,5,5,46,,
QB,Clayton Thorson,Northwestern,2019,76,222,31.125,9.75,76.5,,,,,,,991,1696,58.4,10731,6.3,5.9,61,45,118.1,362,408,1.1,27,4,53,,
QB,Drew Lock,Missouri,2019,75.75,228,32.5,9,77.125,4.69,,31,112,4.12,7.03,883,1553,56.9,12193,7.9,8,99,39,138.8,202,437,2.2,9,4,50,,0.023
QB,Daniel Jones,North Carolina,2019,77,221,32.5,9.75,78.125,4.81,,33.5,120,4.41,7,764,1275,59.9,8201,6.4,6.2,52,29,122.9,406,1323,3.3,17,3,36,,0.002
QB,Kyler Murray,Oklahoma,2019,70,207,28.5,9.5,69.5,,,,,,,350,519,67.4,5406,10.4,11.1,50,14,181.3,207,1478,7.1,13,3,29,,0.081
QB,Trace McSorley,Penn State,2019,72.125,202,31,9.125,72.375,4.57,,33,115,4.12,7.09,720,1215,59.3,9899,8.1,8.5,77,25,144.5,473,1697,3.6,30,4,46,,
QB,Easton Stick,North Dakota State,2019,73.25,224,32.125,9.25,76.125,4.62,,33.5,118,4.05,6.65,598,980,61,8693,8.8,,88,28,,427,2523,5.9,41,5,55,,
QB,Mike White,Western Kentucky,2018,76.675,224,31.675,9.5,77.675,5.09,,27,96,4.4,7.4,863,1393,62,11262,8.1,8.1,74,31,142.9,136,-470,-3.5,6,4,44,,-0.027
QB,Luke Falk,Washington State,2018,75.675,215,32,9.25,77.375,,,26.5,103,,,1403,2054,68.3,14481,7.1,7.4,119,39,142.8,251,-400,-1.6,4,4,42,,
QB,Tanner Lee,Nebraska,2018,76.25,218,32.5,10,76.25,4.98,,32,115,4.41,7,574,1040,55.2,6744,6.5,5.8,46,37,117.1,89,-384,-4.3,2,3,31,,
QB,Josh Rosen,UCLA,2018,76,218,218,9.875,76.5,4.92,,31,111,4.28,7.09,712,1170,60.9,9340,8,8,59,26,140.1,109,-154,-1.4,6,3,30,,-0.026
QB,Chase Litton,Marshall,2018,77,230,32.25,9.375,76.125,4.9,,29.5,106,4.53,7.49,728,1198,60.8,8335,7,7,72,31,133.9,117,-77,-0.7,2,3,34,,
QB,Mason Rudolph,Oklahoma State,2018,76.675,235,32.375,9.125,77.875,4.9,,26,,,,915,1447,63.2,13618,9.4,9.9,92,26,159.7,225,28,0.1,17,4,42,,0.039
QB,Danny Etling,LSU,2018,74.5,222,31,9.375,75.25,4.76,,30.5,114,4.37,7.09,563,973,57.9,7076,7.3,7.3,43,19,129.6,201,70,0.3,7,4,37,,
QB,Logan Woodside,Toledo,2018,73.25,213,31,9.75,72.375,4.79,,31.5,103,4.15,6.94,759,1166,65.1,10514,9,9.6,93,25,162.9,146,88,0.6,4,4,43,,
QB,Kyle Lauletta,Richmond,2018,74.675,222,30.675,9.75,76,4.81,,31,113,4.07,6.95,682,1072,64,9381,8.8,,66,31,,177,186,1.1,10,4,36,,
QB,Sam Darnold,USC,2018,75.375,221,31,9.375,74,4.85,,26.5,105,4.4,6.96,549,846,64.9,7229,8.5,8.7,57,22,153.7,137,332,2.4,7,2,27,,-0.045
QB,Alex McGough,Florida International,2018,75,218,31.25,9.13,76.875,,1.6,32.5,112,4.5,7.27,807,1335,60.4,9091,6.8,6.5,65,37,128.2,308,535,1.7,16,4,46,,
QB,Josh Allen,Wyoming,2018,76,237,33.25,10.125,78.375,4.75,,33.5,119,4.4,6.9,365,649,56.2,5066,7.8,7.7,44,21,137.7,237,767,3.2,12,3,27,,0.166
QB,Chad Kelly,Ole Miss,2018,72.75,224,,,76.625,,,,,4.08,,513,803,63.9,6858,8.5,8.6,50,21,150.9,203,958,4.7,16,3,27,,
QB,Baker Mayfield,Oklahoma,2018,72,215,30.25,9.25,73.375,4.84,,29,111,4.28,7,1026,1497,68.5,14607,9.8,10.6,131,30,175.4,404,1083,2.7,21,4,48,,0.071
QB,Lamar Jackson,Louisville,2018,74,216,33.125,9.5,77.625,,,,,,,619,1086,57,9043,8.3,8.5,69,27,142.9,655,4132,6.3,50,3,38,,0.159
QB,Brad Kaaya,Miami,2017,76,214,32,9.75,76.625,,,,,,,720,1188,60.6,9968,8.4,8.6,69,24,146.2,94,-386,-4.1,4,3,38,,
QB,Davis Webb,California,2017,77,229,33.125,9.25,79.5,4.79,,33,118,4.21,6.92,841,1367,61.5,9852,7.2,7.3,83,34,137.1,77,-100,-1.3,9,4,35,,
QB,CJ Beathard,Iowa,2017,74,219,30.675,9.375,75.125,,,31,113,,,454,782,58.1,5562,7.1,7,40,19,129.8,224,429,1.9,10,4,42,,-0.049
QB,Mitchell Trubisky,North Carolina,2017,74,222,32,9.5,78.125,4.67,,27.5,116,4.25,6.87,386,572,67.5,4762,8.3,9,41,10,157.6,120,439,3.7,8,3,31,,0.037
QB,Nathan Peterman,Pittsburgh,2017,74,226,32.375,9.875,76,4.82,,31,110,4.31,7.14,398,662,60.1,5236,7.9,8.2,47,17,144.9,172,525,3.1,5,4,35,,
QB,Pat Mahomes,Texas Tech,2017,74,225,33.25,9.25,78.5,4.8,,30,114,4.08,6.88,857,1349,63.5,11252,8.3,8.8,93,29,152,308,845,2.7,22,3,32,,0.269
QB,DeShone Kizer,Notre Dame,2017,76,233,33.125,9.875,77.875,4.83,,30.5,107,4.53,7.4,422,695,60.7,5805,8.4,8.5,47,19,147.7,264,997,3.8,18,2,25,,-0.138
QB,DeShaun Watson,Clemson,2017,74,221,33,9.75,81,4.66,,32.5,119,4.31,6.95,814,1207,67.4,10168,8.4,8.7,90,32,157.5,435,1934,4.4,26,3,38,,0.153
QB,Joshua Dobbs,Tennessee,2017,75,216,32.675,9.25,78,4.64,,33,122,4.31,6.75,614,999,61.5,7138,7.1,6.9,53,29,133.2,438,2160,4.9,32,4,37,,-0.098
QB,Cody Kessler,USC,2016,73,220,32.375,10.875,77,4.89,1.68,29.5,104,4,7.32,851,1261,67.5,10339,8.2,8.9,88,19,156.4,158,-425,-2.7,7,4,41,,-0.046
QB,Christian Hackenberg,Penn State,2016,76,223,32,9,77.75,4.78,1.64,31,114,4.33,7.04,693,1235,56.1,8457,6.8,6.5,48,31,121.4,208,-242,-1.2,6,3,38,,
QB,Jared Goff,California,2016,76,215,32.75,9,77.875,4.82,1.65,27,110,4.47,7.17,977,1568,62.3,12195,7.8,8.1,96,30,144,170,-114,-0.7,1,3,37,,0.09
QB,Connor Cook,Michigan State,2016,76,217,33,9.75,78.375,4.79,1.68,33,113,4.28,7.21,673,1170,57.5,9194,7.9,8.2,71,22,139.8,179,209,1.2,3,4,43,,
QB,Cardale Jones,Ohio State,2016,77,253,33.75,9.75,80.5,4.81,1.67,36,,,,166,269,61.7,2322,8.6,8.6,15,7,147.4,153,617,4,4,3,23,,
QB,Paxton Lynch,Memphis,2016,79,244,34.25,10.25,81.75,4.86,1.69,36,118,4.26,7.14,758,1205,62.9,8863,7.4,7.5,59,23,137,288,687,2.4,17,3,38,,
QB,Jacoby Brissett,North Carolina State,2016,76,231,32.25,9.75,79.375,4.94,1.79,31,113,4.53,7.17,499,839,59.5,5723,6.8,7.1,46,15,131.3,283,902,3.2,12,4,39,,0.035
QB,Carson Wentz,North Dakota State,2016,77,237,33.25,10,78.75,4.77,1.65,30.5,118,4.15,6.86,392,612,64.1,5115,8.4,8.8,45,14,153.9,216,1028,4.8,13,4,42,,0.067
QB,Kevin Hogan,Stanford,2016,75,218,32.375,10.25,77.75,4.78,1.64,32.5,113,4.31,6.9,727,1103,65.9,9385,8.5,8.7,75,29,154.6,315,1249,4,15,4,51,,
QB,Dak Prescott,Mississippi State,2016,74,226,32.25,10.875,78,4.79,1.68,32.5,116,4.32,7.11,734,1169,62.8,9376,8,8.3,70,23,146,536,2521,4.7,41,4,49,,0.16
QB,Sean Mannion,Oregon State,2015,78,229,33.5,9,80,5.14,1.87,31,105,4.39,7.29,1187,1838,64.6,13600,7.4,7,83,54,135.8,132,-804,-6.1,2,4,47,,
QB,Shane Carden,East Carolina,2015,74,218,33.25,9.75,79.125,4.94,1.75,29.5,104,4.45,7.17,1052,1579,66.6,11991,7.6,7.8,86,30,144.6,271,253,0.9,24,3,39,,
QB,Garrett Grayson,Colorado State,2015,74,213,30,10,75.25,,,,,,,688,1113,61.8,9190,8.3,8.3,64,27,145.3,212,283,1.3,4,4,37,,
QB,Jameis Winston,Florida State,2015,76,231,32,9.375,78.75,4.97,1.74,28.5,103,4.36,7.16,562,851,66,7964,9.4,9.4,65,28,163.3,145,284,2,7,2,27,,0.111
QB,Bryce Petty,Baylor,2015,75,230,31.875,10,77.375,4.87,1.68,34,121,4.13,6.91,530,845,62.7,8195,9.7,10.6,62,10,166,192,338,1.8,21,4,37,,
QB,Brandon Bridge,South Alabama,2015,76,229,34.25,9.25,82.5,4.72,1.68,33,110,4.37,7.18,189,373,50.7,2325,6.2,5.9,16,10,111.8,138,467,3.4,5,2,20,,
QB,Anthony Boone,Duke,2015,72,231,31.675,9.675,76.375,5.03,1.75,26.5,100,4.62,7.47,540,923,58.5,5789,6.3,5.9,38,24,119.6,230,800,3.5,16,4,46,,
QB,Brett Hundley,UCLA,2015,75,226,32.125,10.5,78.25,4.63,1.63,36,120,3.98,6.93,837,1241,67.4,9966,8,8.3,75,25,150.8,479,1747,3.6,30,3,40,,-0.133
QB,Marcus Mariota,Oregon,2015,76,222,32,9.875,76.375,4.52,1.57,36,121,4.11,6.87,779,1167,66.8,10796,9.3,10.5,105,14,171.8,337,2237,6.6,29,3,41,,0.072
QB,Cody Fajardo,Nevada,2015,73,223,31.375,9.5,77,4.63,1.62,32.5,118,4.1,6.95,878,1348,65.1,9659,7.2,7,57,29,135,636,3482,5.5,44,4,45,,
QB,Tom Savage,Pittsburgh,2014,75.875,228,31.675,9.675,76.25,4.97,1.72,27,105,4.36,7.33,430,757,56.8,5690,7.5,7.4,37,19,131.1,167,-319,-1.9,4,3,31,,-0.116
QB,Zach Mettenberger,LSU`,2014,77,224,32.375,9.75,78.375,,,,,,,407,659,61.8,5783,8.8,8.8,35,15,148.4,83,-313,-3.8,0,3,30,,-0.239
QB,Jimmy Garoppolo,Eastern Illinois,2014,74,226,31,9.25,75.375,4.97,1.78,30.5,110,4.26,7.04,1009,1618,62,12835,7.9,,116,51`,,250,-79,,6,4,44,,0.125
QB,Teddy Bridgewater,Louisville,2014,74,214,33,9.25,78.625,4.78,,30,113,4.2,7.17,781,1142,68.4,9817,8.6,8.9,72,24,157.2,226,170,0.8,6,3,39,,0.08
QB,Derek Carr,Fresno State,2014,74.375,214,32.5,9.125,75,4.69,1.59,34.5,110,4.2,,1087,1630,66.7,12843,7.9,8.6,113,24,152.8,164,190,1.2,5,4,44,,0.069
QB,Blake Bortles,UCF,2014,77,232,32.875,9.375,78,4.93,1.72,32.5,115,4.21,7.08,585,891,65.7,7598,8.5,8.8,56,19,153.8,195,561,2.9,15,3,37,,0.004
QB,Johnny Manziel,Texas A&M,2014,71.75,207,31.375,9.875,74.125,4.68,1.59,31.5,113,4.03,6.75,595,863,68.9,7820,9.1,9.4,63,22,164.1,345,2169,6.3,30,2,26,,-0.073
QB,Landry Jones,Oklahoma,2013,76,225,33,9.125,,5.11,1.69,31,115,4.3,7.12,1388,2183,63.6,16646,7.6,7.7,123,52,141.5,132,-375,-2.8,3,4,53,,
QB,Mike Glennon,North Carolina State,2013,79,225,33.125,9.675,78.75,4.94,1.8,26.5,102,4.52,7.49,646,1069,60.4,7411,6.9,6.8,63,31,132.2,111,-280,-2.5,3,4,36,,-0.105
QB,Tyler Bray,Tennessee,2013,78,232,33,9.25,,5.05,1.72,,100,4.51,7.2,540,922,58.6,7444,8.1,8.2,69,28,145,61,-207,-3.4,1,3,28,,
QB,Matt Barkley,USC,2013,73.5,230,30.63,10.08,75.25,4.91,1.75,,,4.58,,1001,1562,64.1,12327,7.9,8,116,48,148.7,132,-113,-0.9,6,4,47,,-0.028
QB,Tyler Wilson,Arkansas,2013,74,215,31.375,8.75,,4.95,1.7,28.5,112,4.39,7.22,593,948,62.6,7765,8.2,8.1,52,26,144,110,-44,-0.4,4,5,37,,
QB,Ryan Nassib,Syracuse,2013,74,227,32,10.125,74.5,5.06,1.73,28.5,105,4.53,7.34,791,1312,60.3,9190,7,7.1,70,28,132.5,242,168,0.7,5,4,47,,
QB,Geno Smith,West Virginia,2013,74,218,32.5,9.25,76.375,4.59,1.59,33.5,124,,,988,1465,67.4,11662,8,8.7,98,21,153.5,245,342,1.4,4,4,46,,0.025
QB,Zac Dysert,Miami (Ohio),2013,75,231,32.675,9.125,,,,,,,,1066,1672,63.8,12013,7.2,6.7,73,51,132.4,461,665,1.4,12,4,46,,
QB,EJ Manuel,Florida State,2013,76.675,237,35,10.375,83.125,4.65,1.63,34,118,4.21,7.08,600,897,66.9,7741,8.6,8.3,47,28,150.4,298,827,2.8,11,4,43,,-0.065
